Word,Translation,Deck,Example,Article,Plural,Past Tense,Future Tense,Past Participle
Twijfelt,Doubt/Unsure,3.7,,
Uitademen,Breathe out,2.6,,
Uitslag,Outcome Diagnosis Rash,2.4,,
verband,binding/bandage,2.3,,
verbinden,Connect,5.1,,
verdeling,Distribution,5.1,,
verdrietig,Sorrowful,Chapter 2,,
Verfroller,Paint roller,3.7,,
vergelijken,to compare,2.2,,
verminderen,Reduce Decrease,2.6,,
verpleegkundig,Nursing,2.5,,
Verslaafd,Addicted,2.1,,
Verslag,Report,3.1,,
Vertrouwelijk,Confidential Private Sensitive,2.4,,
Verven,Paint,3.7,,
vervuiling,Pollution,3.6,,
Verwennen,To spoil,2.1,,
Verwijderen,Remove/Delete,3.7,,
verzorging,Care nurturing,2.3,,
vochtig,Moist/Damp,3.6,,
Voeding,Food Nutritional,2.1,,
Volgorde,Order Sequence,3.7,,
volhouden,Persevere Continue Persist,2.6,,
Vooraf,beforehand in advance ahead of time,3.3,,
Voorbereiden,Prepare,Chapter 2,,
Voorbij,Over Finished,2.6,,
voordoen,Demonstrate Perform,2.6,,
voorgeschreven,prescribed,2.3,,
voorkomen,to prevent/to occur/exist,2.2,,
voorlopig,provisional/temporary,2.2,,
Voorzitten,to chair to preside over,3.3,,
voren,Forward,2.6,,
vrijwilliger,Volunteer,2.5,,
vuilniszakken,garbage bags trash bags,3.3,,
waardeer,Appreciate,3.5,,
waarderen,to appreciate to value to respect,3.5,,
waarschuwen,to warn,3.3,,
watten,cotton wool,2.3,,
weggelopen,Run away,3.5,,
Wisselt,To change To alternate,2.1,,
zaag,Saw,3.7,,
zakken,Go flat,2.6,,
Zakt,Sinks,2.6,,
zekerheid,Certainty,3.5,,
zenuwachtig,nervous/anxious,2.2,,
Zijkant,Side,3.1,,
Zomaar,Out of the blue Suddenly (for no reason),3.1,,
Zorgen,Care,2.5,,
zweten,Sweat,3.6,

