Deck,Word,Definition,Exercise Type,Question,Options,Explanation
Chapter 5.2,overtuigen,convince,Translation,Translate: "Ik probeer hem te overtuigen om te komen.",I try to convince him to come|I try to persuade him to come|I try to argue him to come|I try to discuss him to come,To persuade someone to do something
Chapter 5.2,plannen,plan,Multiple Choice,What does "plannen" mean?,plan|organize|arrange|prepare,To make arrangements or plans
Chapter 5.2,plannen,plan,Fill in the Blank,We moeten de details nog _____.,plannen|organiseren|regelen|voorbereiden,To make plans or arrangements
Chapter 5.2,praktisch,practical,Multiple Choice,What does "praktisch" mean?,practical|theoretical|ideal|perfect,Useful and realistic
Chapter 5.2,praktisch,practical,Translation,Translate: "Het is een praktische oplossing.",It is a practical solution|It is a theoretical solution|It is an ideal solution|It is a perfect solution,Describes something that is useful and realistic
Chapter 5.2,toevoegen,add / include,Multiple Choice,What does "toevoegen" mean?,add / include|remove|subtract|exclude,To add something to existing content
Chapter 5.2,toevoegen,add / include,Fill in the Blank,Ik ga wat informatie _____ aan het rapport.,toevoegen|verwijderen|aftrekken|uitsluiten,To add information to something
Chapter 5.2,uitstekend,excellent,Multiple Choice,What does "uitstekend" mean?,excellent|good|average|poor,Very good or outstanding
Chapter 5.2,uitstekend,excellent,Translation,Translate: "Ze heeft een uitstekende prestatie geleverd.",She has delivered an excellent performance|She has delivered a good performance|She has delivered an average performance|She has delivered a poor performance,Describes something of very high quality
Chapter 5.2,voorkomen,to prevent / to occur,Multiple Choice,What does "voorkomen" mean?,to prevent / to occur|to happen|to stop|to start,Can mean both "prevent" and "occur" depending on context
Chapter 5.2,voorkomen,to prevent / to occur,Fill in the Blank,We moeten dit probleem _____.,voorkomen|gebeuren|stoppen|beginnen,To prevent something from happening
Chapter 5.2,zo'n,such a,Multiple Choice,What does "zo'n" mean?,such a|so much|so many|so little,Means "such a" or "such an"
Chapter 5.2,zo'n,such a,Translation,Translate: "Zij is zo'n gemotiveerde werknemer.",She is such a motivated employee|She is so much motivated employee|She is so many motivated employee|She is so little motivated employee,Used to emphasize a quality
